capital,country,latitude_number,longitude_number
Kabul,Afghanistan,34.53,69.17
Tirana,Albania,41.33,19.82
Algiers,Algeria,36.75,3.04
Pago Pago,American Samoa,-14.28,-170.7
Andorra la Vella,Andorra,42.51,1.52
Luanda,Angola,-8.84,13.23
The Valley,Anguilla,18.22,-63.06
St. John's,Antigua and Barbuda,17.12,-61.85
Buenos Aires,Argentina,-34.61,-58.38
Yerevan,Armenia,40.18,44.51
Oranjestad,Aruba,12.52,-70.03
Canberra,Australia,-35.28,149.13
Vienna,Austria,48.21,16.37
Baku,Azerbaijan,40.38,49.89
Nassau,Bahamas,25.06,-77.34
Manama,Bahrain,26.22,50.58
Dhaka,Bangladesh,23.71,90.41
Bridgetown,Barbados,13.1,-59.62
Minsk,Belarus,53.9,27.57
Brussels,Belgium,50.85,4.35
Belmopan,Belize,17.25,-88.77
Porto-Novo,Benin,6.5,2.6
Hamilton,Bermuda,32.29,-64.78
Thimphu,Bhutan,27.47,89.64
Sucre,Bolivia,-19.03,-65.26
Sarajevo,Bosnia and Herzegovina,43.85,18.36
Gaborone,Botswana,-24.65,25.91
Brasília,Brazil,-15.78,-47.93
Diego Garcia,British Indian Ocean Territory,72.46,7.24
Road Town,British Virgin Islands,18.42,-64.62
Bandar Seri Begawan,Brunei,4.94,114.95
Sofia,Bulgaria,42.7,23.32
Ouagadougou,Burkina Faso,12.37,-1.53
Bujumbura,Burundi,-3.38,29.36
Phnom Penh,Cambodia,11.56,104.92
Yaoundé,Cameroon,3.87,11.52
Ottawa,Canada,45.41,-75.7
Praia,Cape Verde,14.93,-23.51
George Town,Cayman Islands,19.29,-81.37
Bangui,Central African Republic,4.36,18.55
N'Djamena,Chad,12.11,15.04
Santiago,Chile,-33.46,-70.65
Beijing,China,39.91,116.4
The Settlement,Christmas Island,-10.42,105.68
West Island,Cocos Islands,-12.16,96.82
Bogotá,Colombia,4.61,-74.08
Moroni,Comoros,-11.7,43.26
Avarua,Cook Islands,-21.21,-159.78
San José,Costa Rica,9.93,-84.08
Zagreb,Croatia,45.81,15.98
Havana,Cuba,23.13,-82.38
Nicosia,Cyprus,35.17,33.37
Prague,Czech Republic,50.09,14.42
Kinshasa,Democratic Republic of the Congo,-4.32,15.31
Copenhagen,Denmark,55.68,12.57
Djibouti,Djibouti,11.59,43.15
Roseau,Dominica,15.3,-61.39
Santo Domingo,Dominican Republic,18.5,-69.99
Dili,East Timor,-8.56,125.57
Quito,Ecuador,-0.23,-78.52
Cairo,Egypt,30.06,31.25
San Salvador,El Salvador,13.69,-89.19
Malabo,Equatorial Guinea,3.75,8.78
Asmara,Eritrea,15.33,38.93
Tallinn,Estonia,59.44,24.75
Addis Ababa,Ethiopia,9.02,38.75
Stanley,Falkland Islands,-51.7,-57.85
Tórshavn,Faroe Islands,62.01,-6.77
Suva,Fiji,-18.14,178.44
Helsinki,Finland,60.17,24.94
Paris,France,48.85,2.35
Cayenne,French Guiana,4.93,-52.33
Papeete,French Polynesia,-17.53,-149.57
Libreville,Gabon,0.39,9.45
Banjul,Gambia,13.45,-16.58
Tbilisi,Georgia,41.69,44.83
Berlin,Germany,52.52,13.41
Accra,Ghana,5.56,-0.2
Gibraltar,Gibraltar,36.14,-5.35
Athens,Greece,37.98,23.72
Nuuk (Godthåb),Greenland,64.18,-51.72
St. George's,Grenada,12.06,-61.75
Basse-Terre,Guadeloupe,16,-61.73
Hagåtña,Guam,13.48,144.75
New Guatemala,Guatemala,14.64,-90.51
St Peter Port,Guernsey,49.46,-2.54
Conakry,Guinea,9.54,-13.68
Bissau,Guinea-Bissau,11.86,-15.6
Georgetown,Guyana,6.8,-58.16
Port-au-Prince,Haiti,18.54,-72.34
Tegucigalpa,Honduras,14.08,-87.21
Hong Kong,Hong Kong,22.29,114.16
Budapest,Hungary,47.5,19.04
Reykjavík,Iceland,64.14,-21.9
New Delhi,India,28.64,77.22
Jakarta,Indonesia,-6.21,106.85
Tehran,Iran,35.69,51.42
Baghdad,Iraq,33.34,44.4
Dublin,Ireland,53.33,-6.25
Douglas,Isle of Man,54.15,-4.48
Jerusalem,Israel,35.23,31.77
Rome,Italy,41.89,12.48
Yamoussoukro,Ivory Coast,6.82,-5.28
Kingston,Jamaica,18,-76.79
Edo,Japan,35.69,139.69
Saint Helier,Jersey,49.19,-2.1
Amman,Jordan,31.96,35.95
Astana,Kazakhstan,51.18,71.45
Nairobi,Kenya,-1.28,36.82
South Tarawa,Kiribati,1.33,172.98
Pristina,Kosovo,42.67,21.17
Kuwait City,Kuwait,29.37,47.98
Bishkek,Kyrgyzstan,42.87,74.59
Vientiane,Laos,17.97,102.6
Riga,Latvia,56.95,24.11
Beirut,Lebanon,33.89,35.49
Maseru,Lesotho,-29.32,27.48
Monrovia,Liberia,6.3,-10.8
Tripoli,Libya,32.88,13.19
Vaduz,Liechtenstein,47.14,9.52
Vilnius,Lithuania,54.69,25.28
Luxembourg,Luxembourg,49.61,6.13
Macao,Macao,22.2,113.55
Skopje,Macedonia,42,21.43
Antananarivo,Madagascar,-18.91,47.54
Lilongwe,Malawi,-13.97,33.79
Kuala Lumpur,Malaysia,3.14,101.69
Malé,Maldives,4.17,73.51
Bamako,Mali,12.65,-8
Valletta,Malta,35.9,14.51
Majuro,Marshall Islands,7.09,171.38
Fort-de-France,Martinique,14.61,-61.07
Nouakchott,Mauritania,18.09,-15.98
Port Louis,Mauritius,-20.16,57.5
Mamoutzou,Mayotte,-12.78,45.23
Mexico City,Mexico,19.43,-99.13
Palikir,Micronesia,6.92,158.16
Chişinău,Moldova,47.01,28.86
Monaco,Monaco,43.73,7.42
Ulan Bator,Mongolia,47.91,106.88
Podgorica,Montenegro,42.44,19.26
Plymouth,Montserrat,16.71,-62.21
Rabat,Morocco,34.01,-6.83
Maputo,Mozambique,-25.97,32.58
Nay Pyi Taw,Myanmar,19.75,96.13
Windhoek,Namibia,-22.56,17.08
Yaren,Nauru,166.93,-0.54
Kathmandu,Nepal,27.7,85.32
Amsterdam,Netherlands,52.37,4.89
Willemstad,Netherlands Antilles,-68.92,12.1
Noumea,New Caledonia,-22.28,166.46
Wellington,New Zealand,-41.29,174.78
Managua,Nicaragua,12.13,-86.25
Niamey,Niger,13.51,2.11
Abuja,Nigeria,9.07,7.48
Alofi,Niue,-19.06,-169.92
Kingston,Norfolk Island,-29.05,167.97
Pyongyang,North Korea,39.03,125.75
Saipan,Northern Mariana Islands,15.21,145.75
Oslo,Norway,59.91,10.75
Muscat,Oman,23.61,58.59
Islamabad,Pakistan,33.72,73.04
Melekeok,Palau,7.5,134.62
East Jerusalem,Palestinian Territory,35.23,31.77
Panama City,Panama,8.99,-79.52
Port Moresby,Papua New Guinea,-9.44,147.18
Asunción,Paraguay,-25.3,-57.64
Lima,Peru,-12.04,-77.03
Manila,Philippines,14.6,120.98
Adamstown,Pitcairn,-25.07,-130.1
Warsaw,Poland,52.23,21.01
Lisbon,Portugal,38.72,-9.13
San Juan,Puerto Rico,18.47,-66.11
Doha,Qatar,25.28,51.52
Brazzaville,Republic of the Congo,-4.27,15.28
Saint-Denis,Reunion,-20.88,55.45
Bucharest,Romania,44.43,26.11
Moscow,Russia,55.75,37.62
Kigali,Rwanda,-1.95,30.06
Gustavia,Saint Barthélemy,17.9,-62.85
Jamestown,Saint Helena,-15.94,-5.72
Basseterre,Saint Kitts and Nevis,17.29,-62.73
Castries,Saint Lucia,14,-61.01
Marigot,Saint Martin,18.07,-63.08
Saint-Pierre,Saint Pierre and Miquelon,46.78,-56.17
Kingstown,Saint Vincent and the Grenadines,13.16,-61.22
Apia,Samoa,-13.83,-171.77
San Marino,San Marino,43.94,12.45
São Tomé,Sao Tome and Principe,0.34,6.73
Riyadh,Saudi Arabia,24.69,46.72
Dakar,Senegal,14.69,-17.44
Belgrade,Serbia,44.8,20.47
Victoria,Seychelles,-4.62,55.45
Freetown,Sierra Leone,8.48,-13.23
Singapore,Singapore,1.29,103.85
Bratislava,Slovakia,48.15,17.11
Ljubljana,Slovenia,46.05,14.51
Honiara,Solomon Islands,-9.43,159.95
Mogadishu,Somalia,2.04,45.34
Pretoria,South Africa,-25.74,28.19
Grytviken,South Georgia and the South Sandwich Islands,-54.28,-36.51
Seoul,South Korea,37.57,126.98
Madrid,Spain,40.42,-3.7
Colombo,Sri Lanka,6.93,79.85
Khartoum,Sudan,15.55,32.53
Paramaribo,Suriname,5.87,-55.17
Longyearbyen,Svalbard and Jan Mayen,78.22,15.64
Mbabane,Swaziland,-26.32,31.13
Stockholm,Sweden,59.33,18.06
Berne,Switzerland,46.95,7.45
Damascus,Syria,33.51,36.29
Taipei,Taiwan,25.05,121.53
Dushanbe,Tajikistan,38.54,68.78
Dodoma,Tanzania,-6.17,35.74
Bangkok,Thailand,13.75,100.5
Lomé,Togo,6.14,1.21
Nukunonu,Tokelau,-171.85,-9.2
Nuku'alofa,Tonga,-21.13,-175.2
Port of Spain,Trinidad and Tobago,10.67,-61.52
Tunis,Tunisia,36.82,10.17
Ankara,Turkey,39.92,32.85
Ashkhabad,Turkmenistan,37.95,58.38
Cockburn Town,Turks and Caicos Islands,21.46,-71.14
Funafuti,Tuvalu,-8.52,179.19
Charlotte Amalie,U.S. Virgin Islands,18.34,-64.93
Kampala,Uganda,0.32,32.58
Kiev,Ukraine,50.45,30.52
Abu Dhabi,United Arab Emirates,24.47,54.37
London,United Kingdom,51.51,-0.13
Washington,United States,38.9,-77.04
Montevideo,Uruguay,-34.83,-56.17
Tashkent,Uzbekistan,41.26,69.22
Port Vila,Vanuatu,-17.73,168.32
Vatican,Vatican,41.9,12.45
Caracas,Venezuela,10.49,-66.88
Hanoi,Vietnam,21.02,105.84
Mata-Utu,Wallis and Futuna,-13.28,-176.17
El Aaiún,Western Sahara,27.16,-13.2
Sanaa,Yemen,15.35,44.21
Lusaka,Zambia,-15.41,28.29
Harare,Zimbabwe,-17.83,31.05
